,abstract,human_title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
0,"Zero-shot translation, translating between language pairs on which a Neural Machine Translation (NMT) system has never been trained, is an emergent property when training the system in multilingual settings. However, naive training for zero-shot NMT easily fails, and is sensitive to hyper-parameter setting. The performance typically lags far behind the more conventional pivot-based approach which translates twice using a third language as a pivot. In this work, we address the degeneracy problem due to capturing spurious correlations by quantitatively analyzing the mutual information between language IDs of the source and decoded sentences. Inspired by this analysis, we propose to use two simple but effective approaches: (1) decoder pre-training; (2) back-translation. These methods show significant improvement (4 22 BLEU points) over the vanilla zero-shot translation on three challenging multilingual datasets, and achieve similar or better results than the pivot-based approach.",Improved Zero-shot Neural Machine Translation via Ignoring Spurious Correlations,,Zero-Shot Neural Machine Translation as a Pivot-Based Degeneration of Spurious Correlation between Source and Target Decoding,Pre-training and Back-translation for Zero-Shot Neural Machine Translation in Multilingual Settings,Null-Shot Translation with Decoder Pre-training and Back-Translation, Neural Machine Translation with Arbitrary Correlations,Decoupling the Source Language and the Target Language for Zero-Shot Neural Machine Translation
1,"Biomedical named entities often play important roles in many biomedical text mining tools. However, due to the incompleteness of provided synonyms and numerous variations in their surface forms, normalization of biomedical entities is very challenging. In this paper, we focus on learning representations of biomedical entities solely based on the synonyms of entities. To learn from the incomplete synonyms, we use a model-based candidate selection and maximize the marginal likelihood of the synonyms present in top candidates. Our model-based candidates are iteratively updated to contain more difficult negative samples as our model evolves. In this way, we avoid the explicit pre-selection of negative samples from more than 400K candidates. On four biomedical entity normalization datasets having three different entity types (disease, chemical, adverse reaction), our model BioSyn consistently outperforms previous state-of-the-art models almost reaching the upper bound on each dataset.",Biomedical Entity Representations with Synonym Marginalization,Modeling Biomedical Named Entity Normalization with Incomplete Synonyms,,Biomedical Entity Normalization based on the Synonym Selection of Entities,Learning Representations of Biomedical Entities based on Synonyms, Learning Representations of Biomedical Entities Based on Synonyms,Learning Representations of Biomedical Named Entities from Incomplete Synonyms
2,"By describing the features and abstractions of our world, language is a crucial tool for human learning and a promising source of supervision for machine learning models. We use language to improve few-shot visual classification in the underexplored scenario where natural language task descriptions are available during training, but unavailable for novel tasks at test time. Existing models for this setting sample new descriptions at test time and use those to classify images. Instead, we propose language-shaped learning (LSL), an end-to-end model that regularizes visual representations to predict language. LSL is conceptually simpler, more data efficient, and outperforms baselines in two challenging few-shot domains.",Shaping Visual Representations with Language for Few-Shot Classification,Language-shaped Learning for Few-Shot Visual Classification,Language-Shared Few-shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Abstract,Language-Shaped Learning for Few-Shot Visual Classification,Language-shaped Learning for Few-Shot Visual Classification,,Language-Shaped Learning for Few-Shot Visual Classification
3,"The paper presents an approach to ellipsis resolution in a framework of scope underspecification (Underspecified Discourse Representation Theory). It is argued that the approach improves on previous proposals to integrate ellipsis resolution and scope underspecification (Crouch, 1995; Egg et al., 2001) in that application processes like anaphora resolution do not require full disambiguation but can work directly on the underspecified representation. Furthermore it is shown that the approach presented can cope with the examples discussed by Dalrymple et al. (1991) as well as a problem noted recently by Erk and Koller (2001).",Ellipsis Resolution with Underspecified Scope,E ellipsis resolution and scope underspecification in Underspecified Discourse Representations,Ellipsis Resolution in Underspecified Discourse Representation Theory: An Approach to Ellipsis and Scope Und,,A Framework for ellipsis resolution in scope underspecification, Anaphora Resolution and Scope Underspecification,ellipsis Resolution in an Underspecified Discourse Representation
4,"A number of recent publications have made use of the incremental output of stochastic parsers to derive measures of high utility for psycholinguistic modeling, following the work of Hale (2001; 2003; 2006). In this paper, we present novel methods for calculating separate lexical and syntactic surprisal measures from a single incremental parser using a lexicalized PCFG. We also present an approximation to entropy measures that would otherwise be intractable to calculate for a grammar of that size. Empirical results demonstrate the utility of our methods in predicting human reading times.",Deriving lexical and syntactic expectation-based measures for psycholinguistic modeling via incremental top-down parsing,,Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser and Entropy Measures from a Single Incremental,Incremental Measures of High Utility for Psycholinguistic Modeling and Reading Times,Calculating Separate Lexical and Syntactic Surprisal Measures from a Single Incremental Parser, Incremental Parsing with Lexicalized PCFGs,Lexical and Syntactic Surprisal Measures from an Incremental PCFG
5,"We present a family of priors over probabilistic grammar weights, called the shared logistic normal distribution. This family extends the partitioned logistic normal distribution, enabling factored covariance between the probabilities of different derivation events in the probabilistic grammar, providing a new way to encode prior knowledge about an unknown grammar. We describe a variational EM algorithm for learning a probabilistic grammar based on this family of priors. We then experiment with unsupervised dependency grammar induction and show significant improvements using our model for both monolingual learning and bilingual learning with a non-parallel, multilingual corpus.",Shared Logistic Normal Distributions for Soft Parameter Tying in Unsupervised Grammar Induction,Learning Probabilistic Grammar Priors with Shared Logistic Normal Distributions,Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Probabilistic Priors over Probabil,A Shared Logistic Normal Distribution for Learning Probabilistic Grammar,Partitioned Logistic Normal Distribution for Probabilistic Grammars,,A Shared Logistic Normal Distribution for Learning Probabilistic Grammars
6,"We analyze human's disagreements about the validity of natural language inferences. We show that, very often, disagreements are not dismissible as annotation ""noise"", but rather persist as we collect more ratings and as we vary the amount of context provided to raters. We further show that the type of uncertainty captured by current state-of-the-art models for natural language inference is not reflective of the type of uncertainty present in human disagreements. We discuss implications of our results in relation to the recognizing textual entailment (RTE)/natural language inference (NLI) task. We argue for a refined evaluation objective that requires models to explicitly capture the full distribution of plausible human judgments.",Inherent Disagreements in Human Textual Inferences,A Refined Evaluation of Human's Discussions about Natural Language Inference,,Exploring Human Disagreement about the Validity of Natural Language Inference Tasks,Understanding the Validity of Natural Language Inferences, Noise vs. Natural Language Inference: An Empirical Study,Analyzing Human Disagreements about the validity of Natural Language Inference
7,"This paper describes an algorithm for detecting empty nodes in the Penn Treebank (Marcus et al., 1993), finding their antecedents, and assigning them function tags, without access to lexical information such as valency. Unlike previous approaches to this task, the current method is not corpus-based, but rather makes use of the principles of early Government-Binding theory (Chomsky, 1981), the syntactic theory that underlies the annotation. Using the evaluation metric proposed by Johnson (2002), this approach outperforms previously published approaches on both detection of empty categories and antecedent identification, given either annotated input stripped of empty categories or the output of a parser. Some problems with this evaluation metric are noted and an alternative is proposed along with the results. The paper considers the reasons a principlebased approach to this problem should outperform corpus-based approaches, and speculates on the possibility of a hybrid approach.",Using Linguistic Principles to Recover Empty Categories,An Evaluation Metric for Empty Node Detection in Penn Treebank,A Corpus-Based Approach to the Automatic Discovery of Empty Categories and Their Antecedents in the Penn Treebank: An,A Principle-Based Approach to Empty Categories in the Penn Treebank,, Detecting Empty Categories and Antecedents in the Penn Treebank,A Principle-Based Approach to Empty Node Detection in the Penn Treebank
8,"When a word sense disambiguation (WSD) system is trained on one domain but applied to a different domain, a drop in accuracy is frequently observed. This highlights the importance of domain adaptation for word sense disambiguation. In this paper, we first show that an active learning approach can be successfully used to perform domain adaptation of WSD systems. Then, by using the predominant sense predicted by expectation-maximization (EM) and adopting a count-merging technique, we improve the effectiveness of the original adaptation process achieved by the basic active learning approach.",Domain Adaptation with Active Learning for Word Sense Disambiguation,Active Learning for Domain Adaptation of Word Sense Disambiguation Systems,Active Domain Adaptation for Word Sense Disambiguation Using Expectation-Maximization Prediction and Count-Merging Techniques,Domain Adaptation of Word Sense Disambiguation Systems,Active Domain Adaptation for Word Sense Disambiguation, Domain Adaptation for Word Sense Disambiguation,
9,"Emotions are an important element of human nature, often affecting the overall wellbeing of a person. Therefore, it is no surprise that the health domain is a valuable area of interest for emotion detection, as it can provide medical staff or caregivers with essential information about patients. However, progress on this task has been hampered by the absence of large labeled datasets. To this end, we introduce CancerEmo, an emotion dataset created from an online health community and annotated with eight fine-grained emotions. We perform a comprehensive analysis of these emotions and develop deep learning models on the newly created dataset. Our best BERT model achieves an average F1 of 71%, which we improve further using domain-specific pre-training.",CancerEmo: A Dataset for Fine-Grained Emotion Detection,,C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in Online Health Community,CancerEmo: A Large-Scale Dataset for Emotion Detection in the Health Domain,CancerEmo: An Emotion Dataset for Emotion Detection, CancerEmo: A Fine-Grained Emotion Dataset for Healthcare,CancerEmo: A Fine-Grained Dataset for Emotion Detection in Health
