,human_title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
0,0.2,0.0,0.0,1.0,-0.8,-0.8,0.4
1,0.2,0.0,0.0,-0.2,0.0,-0.4,0.4
2,0.2,0.4,-0.6000000000000001,0.6000000000000001,-0.2,0.0,-0.4
3,0.6000000000000001,-0.8,-0.6000000000000001,0.0,0.8,-0.2,0.2
4,0.0,0.0,-0.2,0.0,0.6000000000000001,0.0,-0.4
5,0.2,0.0,-0.4,0.2,-0.8,0.0,0.8
6,-0.4,0.2,0.0,0.4,-0.6000000000000001,0.0,0.4
7,0.0,-0.4,-1.0,0.6000000000000001,0.0,0.2,0.6000000000000001
8,1.0,0.6000000000000001,-1.0,0.2,-0.2,-0.6000000000000001,0.0
9,0.4,0.0,-0.6000000000000001,0.6000000000000001,-0.6000000000000001,0.0,0.2
10,-0.333,0.667,0.0,-0.333,-0.667,0.333,0.333
11,0.667,0.0,-1.0,0.0,0.0,1.0,-0.667
12,0.667,0.667,-1.0,0.0,-0.667,0.667,-0.333
13,0.333,0.0,0.333,-0.333,0.0,0.0,-0.333
14,0.333,1.0,-1.0,0.0,0.333,0.0,-0.667
15,0.333,0.0,0.0,0.667,0.333,-0.333,-1.0
16,1.0,0.333,-0.667,0.333,-0.333,-0.667,0.0
17,-0.333,1.0,0.667,0.333,0.0,-1.0,-0.667
18,-0.333,0.333,-0.333,0.333,0.0,0.0,0.0
19,0.0,1.0,0.0,0.0,-0.667,0.333,-0.667
20,0.0,-0.333,-0.333,0.667,-0.333,0.333,0.0
21,1.0,0.0,-1.0,-0.333,-0.333,0.0,0.667
22,0.333,-0.333,-1.0,1.0,0.0,0.0,0.0
23,1.0,-0.333,0.0,-0.333,-0.667,0.0,0.333
24,0.0,1.0,-0.333,0.333,-1.0,0.0,0.0
25,0.0,0.667,-0.333,0.667,-0.667,-0.333,0.0
26,0.333,-0.667,-0.667,0.0,0.333,1.0,-0.333
27,-0.333,0.0,0.0,0.667,0.0,0.333,-0.667
28,0.333,0.0,-1.0,0.0,0.0,0.333,0.333
29,-0.333,-0.667,0.0,0.0,-0.333,0.333,1.0
30,-0.333,0.0,0.0,0.333,0.0,0.0,0.0
31,1.0,0.0,-0.333,0.0,-0.333,-0.667,0.333
32,-0.667,0.0,0.0,0.0,1.0,-1.0,0.667
33,-1.0,0.0,-0.333,0.0,0.0,1.0,0.333
34,-0.667,-0.333,1.0,1.0,0.0,-1.0,0.0
35,0.333,-0.333,0.0,0.0,0.0,0.0,0.0
36,-0.667,0.333,-0.333,0.0,0.333,-0.667,1.0
37,1.0,0.0,-0.333,0.0,-1.0,0.0,0.333
38,-0.667,0.333,0.667,1.0,-0.333,-1.0,0.0
39,-1.0,0.0,0.0,0.667,-0.667,0.667,0.333
40,0.0,-0.333,-0.333,0.667,-0.333,0.333,0.0
41,0.0,0.333,-0.333,0.333,-1.0,0.0,0.667
42,0.667,0.667,-1.0,0.0,-0.333,0.0,0.0
