,id,abstract,title,humor
0,1,"Data mining approaches have been increasingly applied to the electronic health record and have led to the discovery of numerous clinical associations. Recent data mining studies have suggested a potential association between cat bites and human depression. To explore this possible association in more detail we first used administrative diagnosis codes to identify patients with either depression or bites, drawn from a population of 1.3 million patients. We then conducted a manual chart review in the electronic health record of all patients with a code for a bite to accurately determine which were from cats or dogs. Overall there were 750 patients with cat bites, 1,108 with dog bites, and approximately 117,000 patients with depression. Depression was found in 41.3% of patients with cat bites and 28.7% of those with dog bites. Furthermore, 85.5% of those with both cat bites and depression were women, compared to 64.5% of those with dog bites and depression. The probability of a woman being diagnosed with depression at some point in her life if she presented to our health system with a cat bite was 47.0%, compared to 24.2% of men presenting with a similar bite. The high proportion of depression in patients who had cat bites, especially among women, suggests that screening for depression could be appropriate in patients who present to a clinical provider with a cat bite. Additionally, while no causative link is known to explain this association, there is growing evidence to suggest that the relationship between cats and human mental illness, such as depression, warrants further investigation.",Describing the relationship between cat bites and human depression using data from an electronic health record,0.5
1,2,"Transport networks are ubiquitous in both social and biological systems. Robust network performance involves a complex trade-off involving cost, transport efficiency, and fault tolerance. Biological networks have been honed by many cycles of evolutionary selection pressure and are likely to yield reasonable solutions to such combinatorial optimization problems. Furthermore, they develop without centralized control and may represent a readily scalable solution for growing networks in general. We show that the slime mold Physarum polycephalum forms networks with comparable efficiency, fault tolerance, and cost to those of real-world infrastructure networks—in this case, the Tokyo rail system. The core mechanisms needed for adaptive network formation can be captured in a biologically inspired mathematical model that may be useful to guide network construction in other domains.",Rules for Biologically Inspired Adaptive Network Design,-1.0
2,5,"Pain is modulated by cognitive factors, including attention and emotions. In this study we evaluated the distractive effect of aesthetic appreciation on subjectively rated pain (visual analogue scale;VAS) and multi-channel evoked potentials induced by CO2 laser stimulation of the left hand in twelve healthy volunteers. Subjects were stimulated by laser in the absence of other external stimulation (baseline condition) and while looking at different paintings they had previously rated as beautiful, neutral or ugly. The view of paintings previously appreciated as beautiful produced lower pain scores and a clear inhibition of the P2 wave amplitude, localized in the anterior cingulate cortex; the inhibition of P2 wave amplitude was lesser or not significant during the presentation of the ugly or neutral paintings, respectively. Dipole source localization analysis of the LEP peaks showed significant changes during different conditions, with a shift from the posterior to the anterior right cingulated cortex while looking at paintings previously rated as beautiful.Our results provide evidence that pain may be modulated at cortical level by the aesthetic content of the distracting stimuli.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",Aesthetic value of paintings affects pain thresholds,-0.5
3,14,"Despite the increasing interest in twin studies and the stunning amount of research on face recognition, the ability of adult identical twins to discriminate their own faces from those of their co-twins has been scarcely investigated. One’s own face is the most distinctive feature of the bodily self, and people typically show a clear advantage in recognizing their own face even more than other very familiar identities. Given the very high level of resemblance of their faces, monozygotic twins represent a unique model for exploring self-face processing. Herein we examined the ability of monozygotic twins to distinguish their own face from the face of their co-twin and of a highly familiar individual. Results show that twins equally recognize their own face and their twin’s face. This lack of self-face advantage was negatively predicted by how much they felt physically similar to their co-twin and by their anxious or avoidant attachment style. We speculate that in monozygotic twins, the visual representation of the self-face overlaps with that of the co-twin. Thus, to distinguish the self from the co-twin, monozygotic twins have to rely much more than control participants on the multisensory integration processes upon which the sense of bodily self is based. Moreover, in keeping with the notion that attachment style influences perception of self and significant others, we propose that the observed self/co-twin confusion may depend upon insecure attachment.",Is That Me or My Twin? Lack of Self-Face Recognition Advantage in Identical Twins,0.75
4,16,"We measured the frictional coefficient under banana skin on floor material. Force transducer with six degrees of freedom was set under a flat panel of linoleum. Both frictional force and vertical force were simultaneously measured during a shoe sole was pushed and rubbed by a foot motion on the panel with banana skin. Measured frictional coefficient was about 0.07. This was much lower than the value on common materials and similar one on well lubricated surfaces. By the microscopic observation, it was estimated that polysaccharide follicular gel played the dominant role in lubricating effect of banana skin after the crush and the change to homogeneous sol.",Frictional Coefficient under Banana Skin,0.25
5,23,"The volume of beer froth decays exponentially with time. This property is used to demonstrate the exponential decay law in the classroom. The decay constant depends on the type of beer and can be used to differentiate between different beers. The analysis shows in a transparent way the techniques of data analysis commonly used in science—consistency checks of theoretical models with the data, parameter estimation and determination of confidence intervals.",Demonstration of the exponential decay law using beer froth,0.0
6,25,"Previously we showed that swearing produces a pain lessening (hypoalgesic) effect for many people. This paper assesses whether habituation to swearing occurs such that people who swear more frequently in daily life show a lesser pain tolerance effect of swearing, compared with people who swear less frequently. Pain outcomes were assessed in participants asked to repeat a swear word versus a nonswear word. Additionally, sex differences and the roles of pain catastroph- izing, fear of pain, and daily swearing frequency were explored. Swearing increased pain tolerance and heart rate compared with not swearing. Moreover, the higher the daily swearing frequency, the less was the benefit for pain tolerance when swearing, compared with when not swearing. This pa- per shows apparent habituation related to daily swearing frequency, consistent with our theory that the underlying mechanism by which swearing increases pain tolerance is the provocation of an emo- tional response.",Swearing as a Response to Pain—Effect of Daily Swearing Frequency,0.25
7,26,"With each eye fixation, we experience a richly detailed visual world. Yet recent work on visual integration and change direction reveals that we are surprisingly unaware of the details of our environment from one view to the next: we often do not detect large changes to objects and scenes ('change blindness'). Furthermore, without attention, we may not even perceive objects ('inattentional blindness'). Taken together, these findings suggest that we perceive and remember only those objects and details that receive focused attention. In this paper, we briefly review and discuss evidence for these cognitive forms of 'blindness'. We then present a new study that builds on classic studies of divided visual attention to examine inattentional blindness for complex objects and events in dynamic scenes. Our results suggest that the likelihood of noticing an unexpected object depends on the similarity of that object to other objects in the display and on how difficult the priming monitoring task is. Interestingly, spatial proximity of the critical unattended object to attended locations does not appear to affect detection, suggesting that observers attend to objects and events, not spatial positions. We discuss the implications of these results for visual representations and awareness of our visual environment.",Gorillas in our midst: sustained inattentional blindness for dynamic events,0.75
8,36,"The purpose of this study was to investigate the significance of wet underwear and to compare any influence of fibre-type material and textile construction of underwear on thermoregulatory responses and thermal comfort of humans during rest in the cold. Long-legged/long-sleeved underwear manufactured from 100% polypropylene in a 1-by-1 rib knit structure was tested dry and wet as part of a two-layer clothing system. In addition cotton (1-by-1 rib knit), wool (1-by-1 rib knit), polypropylene (fishnet), and a double-layer material manufactured from 47% wool and 53% polypropylene (interlock knit) was tested wet in the clothing system. In the wet condition 175 g of water was distributed in the underwear prior to the experiment. The test was done on eight men (T(a) = 10 degrees C, RH = 85%, V(a) < 0.1 m/s), and comprised a 60 min resting period. Skin temperature, rectal temperature, and weight loss were recorded during the test. Total changes in body and clothing weight were measured separately. Furthermore, subjective ratings on thermal comfort and sensation were collected. The tests demonstrated the significant cooling effect of wet underwear on thermoregulatory responses and thermal comfort. Further, the tests showed that textile construction of underwear in a two-layer clothing ensemble has an effect on the evaporation rate from clothing during rest in the cold resulting in a significant difference in mean skin temperature. The thickness of the underwear has more of an influence on the thermoregulatory responses and thermal comfort, than the types of fibres tested.",Impact of wet underwear on thermoregulatory responses and thermal comfort in the cold,-0.25
9,43,"Addresses concerns that, if a student uses a second-hand textbook already highlighted throughout the text, it may interfere with reading comprehension. Investigates highlighting: in the first experiment preexisting inappropriate highlighting interfered with performance on a reading test; in the second experiment, advance warning on the negative effects of preexisting highlighting did not eliminate the effect.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",The Effects of Pre-Existing Inappropriate Highlighting on Reading Comprehension,-0.75
